No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
,PC,1,Dell,Optiplex 390,DY3DC2S/30359681380,Office 3,192.168.8.141,
,PC,1,Dell,Optiplex 390,8Y3DC2S / 19475769700,Office 2,192.168.8.140,
,PC,1,Dell,PC Rakitan,Office 1,192.168.8.139,,
,PC,1,Dell,Optiplex 390,6W3DC2S / 15001272676,Spare,,
,PC,1,Dell,Optiplex 390,F44DC2S / 32900940388,Spare,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AVDM,CHECKIN 1,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1AR-ECVS,CHECKIN 2,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ANYM,CHECKIN 3,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ANWM,CHECKIN 4,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AP2M,CHECKIN 5,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AKCM,CHECKIN 6,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AEUM,CHECKIN 7,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ATDM,CHECKIN 8,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AH7M,CHECKIN 9,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-APFM,CHECKIN 10,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ARYM,CHECKIN 11,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJVM,CHECKIN 12,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AH1M,CHECKIN 13,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-22C-OTKM,CHECKIN 14,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AF2M,CHECKIN 15,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ANVM,CHECKIN 16,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AELM,CHECKIN 17,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AF4M,CHECKIN 18,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJ0M,CHECKIN 19,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJWM,CHECKIN 20,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-23K-2P4L,CHECKIN 21,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-22C-0T7M,CHECKIN 22,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJAM,CHECKIN 23,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ANUM,GATE 1,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-CCEM,GATE 2,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AEKM,GATE 3,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-APRM,GATE MANUAL,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-CC3M,GATE INTER,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AMOM,GATE MANUAL INTER,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AGWM,LOUNGE GAPURA,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJ9M,OFFICE 3,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-197-2WCS,OFFICE 2,,
,LCD,1,IBM,4943-17X,1S494317X23Y0131,OFFICE 1,,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AMNM,OFFICE ( BACK UP),,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJTM,OFFICE ( BACK UP),,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-AJ6M,OFFICE ( BACK UP),,
,LCD,1,Dell,E1912Hf,CN-04H19R-72872-1B2-ANMM,OFFICE ( BACK UP),,
,LCD,1,PROLINK,AH-1503,401101120601026,AUTOGATE INTER,,
,LCD,1,PROLINK,AH-1502,401101120100866,AUTOGATE MANUAL,,
,LCD,1,PROLINK,AH-1501,401101120601035,OFFICE,,
,LCD,1,PROLINK,AH-1500,401101120100856,OFFICE,,
,,,,,,,,
10,PSC PC,1,Zotac,HD-ID41,G114716900310,Auto Gate Manual,192.168.8.68,
,PSC PC,1,Zotac,HD-ID42,G114716900521,Auto Gate Manual INTER,192.168.8.172,
,PSC PC,1,Zotac,HD-ID43,G114216907042,OFFICE,,
,PSC PC,1,Zotac,HD-ID44,G114216907041,OFFICE,,
,,,,,,,,
,Scanner,1,DESKO,GRSK 504,20122400114,GATE 1 (OFFICE),,
,Scanner,1,DESKO,GRSK 504,20122400110,GATE 2 (OFFICE),,
,Scanner,1,DESKO,GRSK 504,20122400108,GATE 3 (OFFICE),,
,Scanner,1,DESKO,GRSK 504,20122400119,GATE INTER,,
,Scanner,1,DESKO,GRSK 504,20121400109,GATE MANUAL INTER,,
,Scanner,1,DESKO,GRSK 504,20122400122,OFFICE,,
,Scanner,1,DESKO,GRSK 504,20122400118,OFFICE,,
,Scanner,1,DESKO,GRSK 504,20122400121,OFFICE,,
,Scanner,1,DESKO,GRSK 504,20090400022,OFFICE,,
,Scanner,1,DESKO,GRSK 504,20122400115,AUTOGATE,,
,Scanner,1,DESKO,GRSK 504,20122400113,AUTOGATE,,
,Scanner,1,DESKO,GRSK 504,20122400107,AUTOGATE,,
,Scanner,1,DESKO,GRSK 504,20122400116,AUTOGATE MANUAL DOM,,
,Scanner,1,DESKO,GRSK 504,20122400117,AUTOGATE INTER,,
,Scanner,1,DESKO,GRSK 504,20122400112,AUTOGATE INTER,,
,Scanner,1,DESKO,GRSK 504,20122400111,AUTOGATE MANUAL INTER,,
,,,,,,,,
,Mounting,1,,Tiang Manual PSC,Gudang,,,
,Mounting,1,,Tiang Manual PSC,Gudang,,,
,Mounting,1,,Tiang Manual PSC,Gudang,,,
,Mounting,1,,Tiang Manual PSC,Gudang,,,
,,,,,,,,
11,Keyboard OCR,1,ACCESS-IS,ATB420 ,1221-030403,OFFICE,,
,Keyboard OCR,1,ACCESS-IS,ATB420 ,1221-030404,OFFICE,,
,Keyboard OCR,1,ACCESS-IS,ATB420 ,1221-030405,OFFICE,,
,Keyboard OCR,1,ACCESS-IS,ATB420 ,1221-030406,OFFICE,,
,,,,,,,,
12,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000202,CHECKIN 1,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000214,CHECKIN 2,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000228,CHECKIN 3,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000809,CHECKIN 4,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000311,CHECKIN 5,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000212,CHECKIN 6,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000810,CHECKIN 7,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000557,CHECKIN 8,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000865,CHECKIN 9,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000306,CHECKIN 10,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000869,CHECKIN 11,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000754,CHECKIN 12,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000916,CHECKIN 13,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000203,CHECKIN 14,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000046,CHECKIN 15,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000310,CHECKIN 16,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000728,CHECKIN 17,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000755,CHECKIN 18,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000309,CHECKIN 19,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000850,CHECKIN 20,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000866,CHECKIN 21,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000201,CHECKIN 22 (office),,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000912,CHECKIN 23,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000041,OFFICE ( RUSAK ),,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000210,OFFICE,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000194,OFFICE,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F000727,OFFICE,,
,,,,,,,,
,Printer,1,Zebra,GC 420d,53J142901274,CI 7,,
,Printer,1,Zebra,GC 420d,53J142900947,CI 6,,
,Printer,1,Zebra,GC 420d,53J131200951,CI 5,,
,Printer,1,Zebra,GC 420d,53J125202645,CI 21 Tanpa Bagasi,,
,Printer,1,Zebra,GC 420d,53j134801952,Lounge,,
,,,,,,,,
13,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401534,CHECKIN 1,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114702469,CHECKIN 2,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111200562,CHECKIN 3,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401541,CHECKIN 4,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J120101036,CHECKIN 5,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114504176,CHECKIN 6,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114702479,CHECKIN 7,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401545,CHECKIN 8,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J115201255,CHECKIN 9,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114702446,CHECKIN 10,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114702464,CHECKIN 11,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401548,CHECKIN 12,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114702477,CHECKIN 13,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114504137,CHECKIN 14,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401539,CHECKIN 15,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114504138,CHECKIN 16,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114700786,CHECKIN 17,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114504155,CHECKIN 18,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J120101012,CHECKIN 19,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401530,Lounge GA,,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J111401531,OFFICE (USB Longgar/Rusak),,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114702482,OFFICE (Hasil print tidak mau pas),,
,Bagtag printer,1,Zebra S4M,S4N-203 dpi Zpl,03J114601108,OFFICE,NEW,
,,,,,,,,
14,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI090,CHECKIN 1,,
,UPS 1500VA,1,Pascal,PA-1700,PAMIK7AA077,CHECKIN 2,,
,UPS 1500VA,1,Pascal,P-1200 CLU,CLUDKIK2AB741,CHECKIN 3,,
,UPS 1500VA,1,Pascal,PA-1700,PAMIK7AA071,CHECKIN 4,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI099,CHECKIN 5,,
,UPS 1500VA,1,Pascal,PA-1700,PAMIK7AA073,CHECKIN 6,,
,UPS 1500VA,1,Pascal,PA-1700,PAMIK7AA075,CHECKIN 7,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI072,CHECKIN 8,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI083,CHECKIN 9,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI095,CHECKIN 10,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI087,CHECKIN 11,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI082,CHECKIN 12,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI088,CHECKIN 13,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI100,CHECKIN 14,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI073,CHECKIN 15,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI098,CHECKIN 16,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI089,CHECKIN 17,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI086,CHECKIN 18,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI084,CHECKIN 19,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI071,CHECKIN 20,,
,UPS 1500VA,1,Pascal,P-1200 CLU,CLUDIK2AB755,CHECKIN 21,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI097,CHECKIN 22 (Office),,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI092,CHECKIN 23,,
,UPS 1500VA,1,Pascal,P-1200 CLU,CLUDIK2AB757,GATE 1,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI093,GATE 2,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI075,GATE 3,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI756,GATE MANUAL,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI085,GATE INTER,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI078,GATE INTER MANUAL,,
,UPS 1500VA,1,Pascal,P-600WL,WLC60AB467,AUTOGATE INTER,,
,UPS 1500VA,1,Pascal,P-600WL,WLC60AB469,AUTOGATE INTER,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI096,AUTOGATE DOM,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI080,AUTOGATE DOM,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI081,AUTOGATE DOM,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI091,AUTOGATE DOM,,
,UPS 1500VA,1,Pascal,P-1200 CLU,CLUDIK2AB754,MANUAL AUTOGATE DOM,,
,UPS 1500VA,1,Pascal,PA-1700,PAMIK7AA072,OFFICE,,
,UPS 1500VA,1,Pascal,PA-1700,PAMIK7AA074,OFFICE,,
,UPS 1500VA,1,Pascal,P-1500 CLU,CLUDIK5ABI074,OFFICE,,
,UPS 1500VA,1,Pascal,P-600WL,WLC60AB463,OFFICE,,
,UPS 1500VA,1,APC,BR1500GI,3B1425X20978,OFFICE (BARU),,
,UPS 1500VA,1,APC,BR1500GI,3B1425X20905,OFFICE (BARU),,
,UPS 1500VA,1,APC,BR1500GI,3B1425X20896,OFFICE (BARU),,
,,,,,,,,
15,Dotmatrix printer,1,Epson,LX-300+II,G8NY211886,GATE 1,,
,Dotmatrix printer,1,Epson,LX-300+II,G8NY209545,GATE 2,,
,Dotmatrix printer,1,Epson,LX-300+II,G8NY209518,GATE 3,,
,Dotmatrix printer,1,Epson,LX-300+II,G8NY214796,GATE MANUAL DOM,,
,Dotmatrix printer,1,Epson,LX-300+II,G8NY209515,GATE INTER,,
,,,,,,,,
16,Automatic Gate,1,Pintu Waiting Room Dom,,,,,
,Automatic Gate,1,Pintu Waiting Room Dom,,,,,
,Automatic Gate,1,Pintu Waiting Room Dom,,,,,
,Automatic Gate,1,Pintu Waiting room int,,,,,
,Automatic Gate,1,Pintu Waiting room int,,,,,
