No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
;PC;1;hp;;SGH553PY4S;Island F2;;172.17.176.72
;PC;1;hp;;SGH553PY8X;Island F3;;172.17.176.73
;PC;1;hp;;SGH553PY9L;Island F4;;172.17.176.74
;PC;1;hp;;SGH602QYYZ;Island F5;;172.17.176.75
;PC;1;hp;;SGH20YQYYW;Island F6;;172.17.176.76
;PC;1;hp;;SGH602QYYY;Island F7;;172.17.176.77
;PC;1;hp;;SGH602QYYQ;Island F8;;172.17.176.78
;PC;1;hp;;SGH602QYYP;Island F9;;172.17.176.79
;PC;1;hp;;SGH552TWBZ;Island F10;;172.17.176.80
;PC;1;hp;;SGH553PYBX;Island F11;;172.17.176.81
;PC;1;hp;;SGH552TW75;Island F12;;172.17.176.82
;PC;1;hp;;SGH602QZIY;Island F13;;172.17.176.83
;PC;1;hp;;;Island F14;;172.17.176.84
;PC;1;hp;;;Island F15;;172.17.176.85
;PC;1;hp;;SGH602QYZC;Island F16;;172.17.176.86
;PC;1;hp;;SGH602QYYR;Island F17;;172.17.176.87
;PC;1;hp;;SGH602QY2F;Island F18;;172.17.176.88
;PC;1;hp;;SGH602QYZG;Island F19;;172.17.176.89
;PC;1;hp;;;Island F20;;172.17.176.90
;PC;1;hp;;;Island F21;;172.17.176.91
;PC;1;hp;;;Island F22;;172.17.176.92
;PC;1;hp;;SGH602QZ0K;Island F23;;172.17.176.93
;PC;1;hp;;SGH602QZ0L;Island F24;;172.17.176.94
;PC;1;hp;;SGH552TW9M;Island F25;;172.17.176.95
;PC;1;hp;;SGH552TW9L;Transfer01;;172.17.176.141
;PC;1;hp;;SGH553PYBL;Transfer02;;172.17.176.142
;PC;1;hp;;SGH602QYYM;Transfer03;;172.17.176.143
;PC;1;hp;;SGH553PYB6;Transfer04;;172.17.176.144
;PC;1;hp;;SGH553PYB5;Transfer05;;172.17.176.145
;PC;1;hp;;SGH553PYBP;Transfer06;;172.17.176.146
;PC;1;hp;;SGH602Q233;Transfer07;;172.17.176.147
;PC;1;hp;;SGH602Q231;Transfer08;;172.17.176.148
;PC;1;hp;;SGH602Q238;Transfer09;;172.17.176.149
;PC;1;hp;;SGH602Q224;Transfer10;;172.17.176.150
;PC;1;hp;;SGH602QZ2B;R. Stanby;;0
;PC;18;hp;;;;SUNTER;
8;LCD;1;hp;;4CQ547007D;Gate 11A;;
;LCD;1;hp;;3CQ547006D;Gate 11B;;
;LCD;1;hp;;3CQ55492QZ0;Gate 11C;;
;LCD;1;hp;;3CQ54304BY;Gate 11D;;
;LCD;1;hp;;3CQ54304DM;Gate 12A;;
;LCD;1;hp;;3CQ5492Q28;Gate 12B;;
;LCD;1;hp;;3CQ5470062;Gate 12C;;
;LCD;1;hp;;3CQ547006Q;Gate 12D;;
;LCD;1;hp;;3CQ5472C5J;Gate 13A;;
;LCD;1;hp;;3CQ5481C21;Gate 13B;;
;LCD;1;hp;;3CQ54304D9;Gate 13C;;
;LCD;1;hp;;3CQ547006J;Gate 14A;;
;LCD;1;hp;;;Gate 14B;;
;LCD;1;hp;;3CQ547006F;Gate 14C;;
;LCD;1;hp;;3CQ5470074;Gate 15A;;
;LCD;1;hp;;3CQ547006K;Gate 15B;;
;LCD;1;hp;;3CQ54304DR;Gate 15C;;
;LCD;1;hp;;3CQ5492QXV;Gate 15D;;
;LCD;1;hp;;3CQ5492QXL;Gate 16A;;
;LCD;1;hp;;3CQ5492QX3;Gate 16B;;
;LCD;1;hp;;3CQ5492QXM;Gate 16C;;
;LCD;1;hp;;3CQ5492QXQ;Gate 17A;;
;LCD;1;hp;;3CQ5492QWQ;Gate 17B;;
;LCD;1;hp;;3CQ5492QWR;Gate 17C;;
;LCD;1;hp;;3CQ5472CB2;Gate 17D;;
;LCD;1;hp;;3CQ5472C5F;Island D1;;
;LCD;1;hp;;3CQ547005N;IslandD2;;
;LCD;1;hp;;3CQ5481COZ;Island D3;;
;LCD;1;hp;;3CQ5472BVF;Island D4;;
;LCD;1;hp;;3CQ547006T;Island D5;;
;LCD;1;hp;;3CQ547005Y;Island D6;;
;LCD;1;hp;;3CQ547005L;Island D7;;
;LCD;1;hp;;3CQ5470077;Island D8;;
;LCD;1;hp;;3CQ5470066;Island D9;;
;LCD;1;hp;;3CQ547006V;Island D10;;
;LCD;1;hp;;3CQ5470065;Island D11;;
;LCD;1;hp;;3CQ547007K;Island D12;;
;LCD;1;hp;;3CQ5481C13;Island D14;;
;LCD;1;hp;;3CQ547007F;Island D15;;
;LCD;1;hp;;3CQ5481F2V;Island D16;;
;LCD;1;hp;;3CQ54700GM;Island D17;;
;LCD;1;hp;;3CQ5470078;Island D18;;
;LCD;1;hp;;3CQ5481F28;Island D19;;
;LCD;1;hp;;3CQ5470070;Island D20;;
;LCD;1;hp;;3CQ547005H;Island D21;;
;LCD;1;hp;;3CQ547005B;Island D22;;
;LCD;1;hp;;3CQ547005P;Island D23;;
;LCD;1;hp;;3CQ5470072;Island D24;;
;LCD;1;hp;;3CQ5470060;Island D25;;
;LCD;1;hp;;3CQ5492QWN;Island D26;;
;LCD;1;hp;;3CQ5472C9F;Island E1;;
;LCD;1;hp;;3CQ5472C93;Island E2;;
;LCD;1;hp;;3CQ5481C10;Island E3;;
;LCD;1;hp;;3CQ547006I;Island E4;;
;LCD;1;hp;;3CQ547006P;Island E5;;
;LCD;1;hp;;3CQ5470066;Island E6;;
