No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
11,UPS 1500VA,24,APC,BR1500GI,3B1428X 06525 3B1428X 06495 3B1428X 06664 3B1428X 06661 3B1428X 10579 3B1428X 06666 3B1428X 06290 3B1428X 06467 3B1428X 06470 3B1428X 06488 3B1428X 06481 3B1428X 06421 3B1428X 06491 3B1428X 06492 3B1428X 06498 3B1428X 06499 3B1428X 06600 3B1428X 06487 3B1428X 06477 3B1428X 06478 3B1428X 06279 3B1428X 06407 3B1428X 10657 3B1428X 06450,counter01 counter02 counter03 counter04 counter05 counter06 counter07 counter08 counter09 counter10 counter11 counter12 counter13 counter14 counter15 counter16 counter17 counter18 counter19 spare spare spare spare spare,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
12,Printer manifest,4,Epson,LX-310,Q7FY 152598 Q7FY 152591 Q7FY 146983 Q7Fy 146995,spare spare spare spare,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13,Scanner,2,Access,LSR-116,,,,
