No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
8,LCD,128 110,hp,,4CQ547007D 3CQ547006D 3CQ55492QZ0 3CQ54304BY 3CQ54304DM 3CQ5492Q28 3CQ5470062 3CQ547006Q 3CQ5472C5J 3CQ5481C21 3CQ54304D9 3CQ547006J 3CQ547006F 3CQ5470074 3CQ547006K 3CQ54304DR 3CQ5492QXV 3CQ5492QXL 3CQ5492QX3 3CQ5492QXM 3CQ5492QXQ 3CQ5492QWQ 3CQ5492QWR 3CQ5472CB2 3CQ5472C5F 3CQ547005N 3CQ5481COZ 3CQ5472BVF 3CQ547006T 3CQ547005Y 3CQ547005L 3CQ5470077 3CQ5470066 3CQ547006V 3CQ5470065 3CQ547007K 3CQ5481C13 3CQ547007F 3CQ5481F2V 3CQ54700GM 3CQ5470078 3CQ5481F28 3CQ5470070 3CQ547005H 3CQ547005B 3CQ547005P 3CQ5470072 3CQ5470060 3CQ5492QWN 3CQ5472C9F 3CQ5472C93 3CQ5481C10 3CQ547006I 3CQ547006P 3CQ5470066 3CQ547005V 3CQ5470063 3CQ547005G 3CQ5470055 3CQ5470069 3CQ547006C 3CQ5472C50 3CQ5472C3K 3CQ5472C96 3CQ547006L 3CQ547006X 3CQ5470067 3CQ5470075 3CQ547005Z 3CQ5470076 3CQ5470056 3CQ547006H 3CQ547007N 3CQ5481C0Q 3CQ5472BR8 3CQ5472C5T 3CQ5481DCX 3CQ547007J 3CQ5470062 3CQ547006S 3CQ5470068 3CQ547006W 3CQ547005X 3CQ5470071 3CQ547QQ7P 3CQ5492QXK Island F14 3CQ5472C8R 3CQ5481DCS 3CQ547005K 3CQ547006N Island F19 Island F20 3CQ547005M 3CQ5481F2T 3CQ5470073 3CQ5470079 3CQ5470073 3CQ547005W 3CQ547006Y 3CQ5481C0Y 3CQ5481C14 3CQ5481C19 3CQ547005J 3CQ5492QWW 3CQ5492QXR 3CQ5492QXS 3CQ5492QXH 3CQ5492QXN,Gate 11A Gate 11B Gate 11C Gate 11D Gate 12A Gate 12B Gate 12C Gate 12D Gate 13A Gate 13B Gate 13C Gate 14A Gate 14B Gate 14C Gate 15A Gate 15B Gate 15C Gate 15D Gate 16A Gate 16B Gate 16C Gate 17A Gate 17B Gate 17C Gate 17D Island D1 IslandD2 Island D3 Island D4 Island D5 Island D6 Island D7 Island D8 Island D9 Island D10 Island D11 Island D12 Island D14 Island D15 Island D16 Island D17 Island D18 Island D19 Island D20 Island D21 Island D22 Island D23 Island D24 Island D25 Island D26 Island E1 Island E2 Island E3 Island E4 Island E5 Island E6 Island E7 Island E8 Island E9 Island E10 Island E11 Island E12 Island E14 Island E15 Island E16 Island E17 Island E18 Island E19 Island E20 Island E21 Island E22 Island E23 Island E24 Island E25 Island F1 Island F2 Island F3 Island F4 Island F5 Island F6 Island F7 Island F8 Island F9 Island  F10 Island F11 Island F12 Island F13 Island F15 Island F16 Island F17 Island F18 Island F21 Island F22 Island F23 Island F24 Island F25 TransferDom01 TransferDom02 TransferDom03 TransferDom04 TransferDom05 TransferDom06 TransferDom07 TransferDom08 TransferDom09 TransferDom10 R. Stanby,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,Thermal printer,90 7,Epson Zebra,TM-L500a GC 420 D,UC3F001166 NZ4F003161 NZ4F003173 UC3F001007 UC3F000995 UC3F001188 UC3F001100 UC3F001148 UC3F001174 UC3F001145 UC3F001136 UC3F001097 NZ4F003170 UC3F001084 NZ4F003181 UC3F001093 UC3F001163 UC3F001226 UC3F001130 UC3F001098 UC3F001149 UC3F001161 UC3F001146 UC4F001085 UC3F001004 NZ4F003172 UC3F000987 UC3F001152 UC3F001134 UC3F001184 UC3F001160 UC3F001186 UC3F001138 UC3F001187 UC3F001102 UC3F001135 UC3F001171 UC3F000989 UC3F001137 UC3F001088 UC3F001155 UC3F001092 UC3F001143 UC3F001122 UC3F001151 UC3F001172 UC3F001133 UC3F001085 NZ4F003175 UC3F000985 UC3F000996 NZ4F003162 UC3F001091 UC3F000991 UC3F001164 UC3F000999 UC3F000991 UC4F001065 UC3F001096 UC3F001135 NZ4F003176 UC3F000986 UC3F001129 NZ4F003185 UC3FOO1168 UC3F001086 NZ4F003182 UC3F001095 UC3F001103 UC3F001089 UC3F001165 UC3F001090 UC3F000990 UC3F001156 UC3F001132 N24F003168 TransferDom?? TransferDom?? 81 TransferDom?? 2 ?? 53J154200468 53J154200359 53J15400462 53J151602238 53J153101206 53J154200257 53J153101286,Island D1 Island D2 Island D3 Island D4 Island D5 Island D6 Island D7 Island D8 Island D9 Island D10 Island D11 Island D12 Island D14 Island D15 Island D16 Island D17 Island D18 Island D19 Island D20 Island D21 Island D22 Island D23 Island D24 Island D25 Island E1 Island E2 Island E3 Island E4 Island E5 Island E6 Island E7 Island E8 Island E9 Island E10 Island E11 Island E12 Island E14 Island E15 Island E16 Island E17 Island E18 Island E19 Island E20 Island E21 Island E22 Island E23 Island E24 Island E25 Island F1 Island F2 Island F3 Island F4 Island F5 Island F6 Island F7 Island F8 Island F9 Island F10 Island F11 Island F12 Island F14 Island F15 Island F16 Island F17 Island F18 Island F19 Island F20 Island F21 Island F22 Island F23 Island F24 Island F25 TransferDom01 TransferDom02 TransferDom03 TransferDom04 TransferDom05 TransferDom06 Gate11C Gate12B Gate13B Gate14A gate15B Gate16A Gate17C,,172.17.176.11 172.17.176.12 172.17.176.13 172.17.176.14 172.17.176.15 172.17.176.16 172.17.176.17 172.17.176.18 172.17.176.19 172.17.176.20 172.17.176.21 172.17.176.22 172.17.176.24 172.17.176.25 172.17.176.26 172.17.176.27 172.17.176.28 172.17.176.29 172.17.176.30 172.17.176.31 172.17.176.32 172.17.176.33 172.17.176.34 172.17.176.35 172.17.176.41 172.17.176.42 172.17.176.43 172.17.176.44 172.17.176.45 172.17.176.46 172.17.176.47 172.17.176.48 172.17.176.49 172.17.176.50 172.17.176.51 172.17.176.52 172.17.176.54 172.17.176.55 172.17.176.56 172.17.176.57 172.17.176.58 172.17.176.59 172.17.176.60 172.17.176.61 172.17.176.62 172.17.176.63 172.17.176.64 172.17.176.65 172.17.176.71 172.17.176.72 172.17.176.73 172.17.176.74 172.17.176.75 172.17.176.76 172.17.176.77 172.17.176.78 172.17.176.79 172.17.176.80 172.17.176.81 172.17.176.82 172.17.176.84 172.17.176.85 172.17.176.86 172.17.176.87 172.17.176.88 172.17.176.89 172.17.176.90 172.17.176.91 172.17.176.92 172.17.176.93 172.17.176.94 172.17.176.95 172.17.176.141 172.17.176.142 172.17.176.143 172.17.176.144 172.17.176.145 172.17.176.146 172.17.176.160 172.17.176.104 172.17.176.106 172.17.176.107 172.17.176.110 172.17.176.111 172.17.176.177
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
